

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   154.00000 -0.276829E+02  0.272189E+02 -0.277202E+02  0.238958E+02 -0.433702E+01   -681.745   -587.765   -510.138     154
   155.00000 -0.278629E+02  0.274986E+02 -0.279001E+02  0.241755E+02 -0.434482E+01   -510.406   -610.595   -510.829     155
   156.00000 -0.307129E+02  0.277126E+02 -0.307501E+02  0.243895E+02 -0.435263E+01   -113.243   -210.061   -510.545     156
   157.00000 -0.308629E+02  0.279727E+02 -0.309001E+02  0.246496E+02 -0.436045E+01   -217.328   -236.822   -509.665     157
   158.00000 -0.308729E+02  0.282732E+02 -0.309101E+02  0.249500E+02 -0.436832E+01   -291.965   -289.376   -508.505     158
   159.00000 -0.310729E+02  0.286783E+02 -0.311102E+02  0.253552E+02 -0.437625E+01   -300.601   -327.127   -506.159     159
   160.00000 -0.310555E+02  0.291747E+02 -0.310934E+02  0.258516E+02 -0.438434E+01   -461.270   -413.334   -500.506     160
   161.00000 -0.310555E+02  0.296152E+02 -0.310929E+02  0.262921E+02 -0.439275E+01   -618.257   -515.734   -491.836     161
   162.00000 -0.310555E+02  0.300487E+02 -0.310928E+02  0.267255E+02 -0.440156E+01   -868.211   -652.179   -483.415     162
   163.00000 -0.319255E+02  0.304397E+02 -0.319628E+02  0.271165E+02 -0.441095E+01   -259.950   -487.267   -475.269     163
   164.00000 -0.319026E+02  0.309479E+02 -0.319403E+02  0.276247E+02 -0.442118E+01   -595.373   -595.724   -467.825     164
   165.00000 -0.319026E+02  0.314571E+02 -0.319403E+02  0.281340E+02 -0.443208E+01   -970.013   -806.212   -462.268     165
   166.00000 -0.319026E+02  0.319647E+02 -0.319400E+02  0.286370E+02 -0.444338E+01  -1824.727  -1202.355   -458.291     166
   167.00000 -0.319426E+02  0.324591E+02 -0.319799E+02  0.290911E+02 -0.445492E+01  -1945.537  -1863.886   -455.746     167
   168.00000 -0.319426E+02  0.329747E+02 -0.319784E+02  0.294470E+02 -0.446662E+01  -5220.977  -3193.822   -454.665     168
   169.00000 -0.319926E+02  0.334058E+02 -0.320287E+02  0.296681E+02 -0.447836E+01  -2344.043  -3723.819   -454.646     169
   170.00000 -0.319926E+02  0.338933E+02 -0.320272E+02  0.298576E+02 -0.449004E+01  -6140.441  -4402.809   -455.616     170
   171.00000 -0.319926E+02  0.344130E+02 -0.320255E+02  0.299924E+02 -0.450155E+01  -7927.798  -4896.581   -457.444     171
   172.00000 -0.319926E+02  0.349333E+02 -0.320255E+02  0.301111E+02 -0.451285E+01  -8023.486  -5102.623   -459.807     172
   173.00000 -0.319926E+02  0.354019E+02 -0.320255E+02  0.301932E+02 -0.452381E+01  -8020.115  -5338.907   -462.792     173
   174.00000 -0.323025E+02  0.356603E+02 -0.323356E+02  0.302870E+02 -0.453460E+01   -671.485  -4025.678   -465.918     174
   175.00000 -0.323025E+02  0.361675E+02 -0.323360E+02  0.305268E+02 -0.454505E+01  -2312.736  -4293.043   -469.470     175
   176.00000 -0.323025E+02  0.367036E+02 -0.323340E+02  0.306946E+02 -0.455511E+01  -5459.189  -5156.631   -473.365     176
   177.00000 -0.323225E+02  0.369271E+02 -0.323541E+02  0.307516E+02 -0.456481E+01  -3360.291  -5132.517   -477.514     177
   178.00000 -0.329426E+02  0.371235E+02 -0.329741E+02  0.308399E+02 -0.457412E+01   -399.697  -3404.422   -481.972     178
   179.00000 -0.334126E+02  0.375167E+02 -0.334442E+02  0.311152E+02 -0.458297E+01   -392.879  -2602.620   -487.371     179
   180.00000 -0.334126E+02  0.379056E+02 -0.334441E+02  0.314268E+02 -0.459148E+01   -930.239  -2545.363   -493.683     180
   181.00000 -0.340826E+02  0.383030E+02 -0.341141E+02  0.317476E+02 -0.459978E+01   -335.215  -2343.912   -499.640     181
   182.00000 -0.340826E+02  0.388322E+02 -0.341146E+02  0.321883E+02 -0.460786E+01   -903.553  -2506.126   -505.433     182
   183.00000 -0.340826E+02  0.392126E+02 -0.341133E+02  0.324840E+02 -0.461572E+01  -1656.512  -3098.494   -511.101     183
   184.00000 -0.342725E+02  0.396686E+02 -0.343033E+02  0.327867E+02 -0.462340E+01   -819.598  -3751.816   -516.677     184
   185.00000 -0.368825E+02  0.397157E+02 -0.369132E+02  0.328240E+02 -0.463088E+01   -134.546   -874.239   -522.160     185
   186.00000 -0.369125E+02  0.401029E+02 -0.369433E+02  0.332106E+02 -0.463817E+01   -346.853   -507.600   -527.546     186
   187.00000 -0.369125E+02  0.404344E+02 -0.369431E+02  0.335421E+02 -0.464524E+01   -500.906   -580.892   -532.835     187
   188.00000 -0.369725E+02  0.408728E+02 -0.370031E+02  0.339805E+02 -0.465214E+01   -634.201   -727.570   -538.045     188
   189.00000 -0.370025E+02  0.413148E+02 -0.370331E+02  0.344225E+02 -0.465885E+01   -929.717   -965.335   -543.164     189
   190.00000 -0.388926E+02  0.417377E+02 -0.389231E+02  0.348454E+02 -0.466538E+01   -165.176   -531.698   -548.181     190
   191.00000 -0.411626E+02  0.419778E+02 -0.411927E+02  0.350855E+02 -0.467173E+01   -120.214   -202.206   -553.052     191
   192.00000 -0.411626E+02  0.423429E+02 -0.411931E+02  0.354506E+02 -0.467790E+01   -246.776   -258.981   -557.733     192
   193.00000 -0.412400E+02  0.427342E+02 -0.412705E+02  0.358420E+02 -0.468392E+01   -308.282   -319.978   -562.189     193
   194.00000 -0.412400E+02  0.431955E+02 -0.412710E+02  0.363032E+02 -0.468976E+01   -432.218   -402.950   -566.063     194
   195.00000 -0.412258E+02  0.437246E+02 -0.412573E+02  0.368323E+02 -0.469550E+01   -637.472   -528.514   -568.367     195
