 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     F     F     F     F     F     F     F     F     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.342    1    1   0.000    1.000    1.000    1.000
   2     -0.100      0.342    1    1   0.000    1.000    1.000    1.000
   3     -0.200      0.342    1    1   0.000    1.000    1.000    1.000
   4     -0.300      0.342    1    1   0.000    1.000    1.000    1.000
   5     -0.400      0.342    2    1   0.000    1.000    1.000    1.000
   6     -0.500      0.342    2    1   0.000    1.000    1.000    1.000
   7     -0.600      0.342    2    1   0.000    1.000    1.000    1.000
   8     -0.700      0.342    2    1   0.000    1.000    1.000    1.000
   9     -0.800      0.342    2    1   0.000    1.000    1.000    1.000
  10     -0.900      0.342    2    1   0.000    1.000    1.000    1.000
  11     -1.000      0.342    2    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.080  0.342   0.300E-01   0.500E+01   0.100E+01 -0.500
    2    0.080  0.342   0.300E-01   0.500E+01   0.100E+00 -0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  0.0800  -0.156E+04  0.3192E+01  0.1421E-09  0.2844E-13 -0.1355E+02    0.0000  0.1809E-10
  0.0800  -0.196E+04  0.3293E+01  0.4440E-10  0.4424E-14 -0.1435E+02    0.0000  0.1809E-10
  0.0800  -0.248E+04  0.3394E+01  0.1388E-10  0.6882E-15 -0.1516E+02    0.0000  0.1808E-10
  0.0800  -0.313E+04  0.3495E+01  0.4338E-11  0.1071E-15 -0.1597E+02    0.0000  0.1807E-10
  0.0800  -0.394E+04  0.3596E+01  0.1356E-11  0.1665E-16 -0.1678E+02    0.0000  0.1806E-10
  0.0800  -0.498E+04  0.3697E+01  0.4238E-12  0.2591E-17 -0.1759E+02    0.0000  0.1805E-10
  0.0800  -0.628E+04  0.3798E+01  0.1325E-12  0.4031E-18 -0.1839E+02    0.0000  0.1803E-10
  0.0800  -0.792E+04  0.3899E+01  0.4141E-13  0.6270E-19 -0.1920E+02    0.0000  0.1801E-10
  0.0800  -0.100E+05  0.4000E+01  0.1294E-13  0.9759E-20 -0.2001E+02    0.0000  0.1798E-10
end

  0.3421  -0.100E-05 -0.6000E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.126E-05 -0.5899E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.159E-05 -0.5798E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.201E-05 -0.5697E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.254E-05 -0.5596E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.320E-05 -0.5495E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.404E-05 -0.5394E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.509E-05 -0.5293E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.643E-05 -0.5192E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.811E-05 -0.5091E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.102E-04 -0.4990E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.129E-04 -0.4889E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.163E-04 -0.4788E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.206E-04 -0.4687E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.260E-04 -0.4586E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.327E-04 -0.4485E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.413E-04 -0.4384E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.521E-04 -0.4283E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.658E-04 -0.4182E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.830E-04 -0.4081E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.105E-03 -0.3980E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.132E-03 -0.3879E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.167E-03 -0.3778E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.210E-03 -0.3677E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.266E-03 -0.3576E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.335E-03 -0.3475E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.423E-03 -0.3374E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.534E-03 -0.3273E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.673E-03 -0.3172E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.850E-03 -0.3071E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.107E-02 -0.2970E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.135E-02 -0.2869E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.171E-02 -0.2768E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.215E-02 -0.2667E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.272E-02 -0.2566E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.343E-02 -0.2465E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.433E-02 -0.2364E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.546E-02 -0.2263E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.689E-02 -0.2162E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.870E-02 -0.2061E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.110E-01 -0.1960E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.138E-01 -0.1859E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.175E-01 -0.1758E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.221E-01 -0.1657E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.278E-01 -0.1556E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.351E-01 -0.1455E+01  0.0000E+00  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.443E-01 -0.1354E+01  0.9817E-13  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.559E-01 -0.1253E+01  0.2489E-12  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.705E-01 -0.1152E+01  0.6311E-12  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.890E-01 -0.1051E+01  0.1600E-11  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.112E+00 -0.9495E+00  0.4057E-11  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.142E+00 -0.8485E+00  0.1028E-10  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.179E+00 -0.7475E+00  0.2608E-10  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.226E+00 -0.6465E+00  0.6611E-10  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.285E+00 -0.5455E+00  0.1676E-09  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.359E+00 -0.4444E+00  0.4250E-09  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.453E+00 -0.3434E+00  0.1077E-08  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.572E+00 -0.2424E+00  0.2732E-08  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.722E+00 -0.1414E+00  0.6926E-08  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.911E+00 -0.4040E-01  0.1756E-07  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
  0.3421  -0.115E+01  0.6061E-01  0.4452E-07  0.1000E+00 -0.1000E+01    1.0000  0.0000E+00
